name|event_code|start_date|end_date|event_type_string
Western Canada Regional|abca|2017-04-05|2017-04-08|Regional
Rocket City Regional|alhu|2017-03-22|2017-03-25|Regional
Archimedes Division|arc|2017-04-26|2017-04-29|Championship Division
Arkansas Rock City Regional|arli|2017-03-08|2017-03-11|Regional
Redbacks Scrimmage|aurb|2017-02-19|2017-02-19|Preseason
Southern Cross Regional|ausc|2017-03-13|2017-03-15|Regional
South Pacific Regional|ausp|2017-03-16|2017-03-18|Regional
Arizona North Regional|azfl|2017-03-08|2017-03-11|Regional
Arizona West Regional|azpx|2017-04-05|2017-04-08|Regional
Sacramento Regional|cada|2017-03-22|2017-03-25|Regional
Orange County Regional|cair|2017-03-29|2017-04-01|Regional
Los Angeles Regional|calb|2017-03-23|2017-03-26|Regional
Central Valley Regional|cama|2017-03-09|2017-03-12|Regional
Pre-Bag Scrimmage|capb|2017-02-18|2017-02-19|Preseason
Carson Division|cars|2017-04-26|2017-04-29|Championship Division
Carver Division|carv|2017-04-19|2017-04-22|Championship Division
San Diego Regional presented by Qualcomm|casd|2017-03-08|2017-03-11|Regional
San Francisco Regional|casf|2017-03-16|2017-03-19|Regional
Silicon Valley Regional|casj|2017-03-29|2017-04-01|Regional
Ventura Regional|cave|2017-03-15|2017-03-18|Regional
FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton|chcmp|2017-04-05|2017-04-08|District Championship
Centurion-Krawler Week Zero|ckw0|2017-02-18|2017-02-18|Preseason
Einstein (St. Louis) Field|cmpmo|2017-04-29|2017-04-29|Championship Finals
Einstein (Houston) Field|cmptx|2017-04-22|2017-04-22|Championship Finals
Colorado Regional|code|2017-03-22|2017-03-25|Regional
NE District - Hartford Event|cthar|2017-03-31|2017-04-02|District
Suffield Shakedown Scrimmage|ctss|2017-02-18|2017-02-18|Preseason
NE District - Waterbury Event|ctwat|2017-03-03|2017-03-05|District
Curie Division|cur|2017-04-26|2017-04-29|Championship Division
Daly Division|dal|2017-04-26|2017-04-29|Championship Division
Darwin Division|dar|2017-04-26|2017-04-29|Championship Division
Orlando Regional|flor|2017-03-08|2017-03-11|Regional
South Florida Regional |flwp|2017-03-01|2017-03-04|Regional
PCH District - Albany Event|gaalb|2017-03-23|2017-03-25|District
Peachtree State Championship|gacmp|2017-04-05|2017-04-08|District Championship
PCH District - Columbus Event|gacol|2017-03-16|2017-03-18|District
PCH District - Dalton Event|gadal|2017-03-09|2017-03-11|District
PCH District - Gainesville Event|gagai|2017-03-03|2017-03-05|District
Galileo Division|gal|2017-04-19|2017-04-22|Championship Division
Shenzhen Regional|gush|2017-03-08|2017-03-11|Regional
Hawaii Regional|hiho|2017-03-29|2017-04-01|Regional
Hopper Division|hop|2017-04-19|2017-04-22|Championship Division
Iowa Regional|iacf|2017-03-22|2017-03-25|Regional
Idaho Regional|idbo|2017-03-29|2017-04-01|Regional
Midwest Regional|ilch|2017-03-29|2017-04-01|Regional
Central Illinois Regional|ilpe|2017-03-15|2017-03-18|Regional
Indiana State Championship|incmp|2017-04-06|2017-04-08|District Championship
IN District - St. Joseph Event|inmis|2017-03-10|2017-03-12|District
IN District - Perry Meridian Event|inpmh|2017-03-23|2017-03-25|District
IN District - Tippecanoe Event|inwla|2017-03-03|2017-03-05|District
Indiana Robotics Invitational|iri|2017-07-14|2017-07-15|Offseason
FIRST Israel District Championship|iscmp|2017-03-28|2017-03-30|District Championship
ISR District Event #1|isde1|2017-03-06|2017-03-07|District
ISR District Event #2|isde2|2017-03-08|2017-03-09|District
ISR District Event #3|isde3|2017-03-13|2017-03-14|District
ISR District Event #4|isde4|2017-03-15|2017-03-16|District
Bayou Regional|lake|2017-03-22|2017-03-25|Regional
NE District - Greater Boston Event|mabos|2017-03-17|2017-03-19|District
NE District - SE Mass Event|mabri|2017-03-10|2017-03-12|District
NE District - North Shore Event|marea|2017-03-17|2017-03-19|District
NE District - Worcester Polytechnic Institute Event|mawor|2017-03-08|2017-03-10|District
CHS District - Greater DC Event sponsored by Accenture|mdbet|2017-03-10|2017-03-12|District
CHS District - Central Maryland Event sponsored by Leidos|mdedg|2017-03-24|2017-03-26|District
CHS District - Northern Maryland Event|mdowi|2017-03-17|2017-03-19|District
NE District - Pine Tree Event|melew|2017-03-30|2017-04-01|District
FIM District - Ann Arbor Pioneer Event|miann|2017-03-09|2017-03-11|District
FIM District - Woodhaven Event|mibro|2017-03-23|2017-03-25|District
FIM District - Center Line Event|micen|2017-03-09|2017-03-11|District
Michigan State Championship|micmp|2017-04-12|2017-04-15|District Championship
FIM District - Escanaba Event|miesc|2017-03-16|2017-03-18|District
FIM District - Gaylord Event|migay|2017-03-16|2017-03-18|District
FIM District - Gull Lake Event|migul|2017-03-16|2017-03-18|District
FIM District - Howell Event|mihow|2017-03-30|2017-04-01|District
Kettering Week  0.5|mike0|2017-02-25|2017-02-25|Preseason
FIM District - Kettering University Event #2|mike2|2017-03-09|2017-03-11|District
FIM District - East Kentwood Event|miken|2017-03-30|2017-04-01|District
FIM District - Kettering University Event #1|miket|2017-03-02|2017-03-04|District
